cam.id,area,feret,aspect.ratio,rearing.id,mother.id,locality,altitude,sex,adult.mass,pupa.clean.mass,dev.time,type.reared,genus,species,subspecies,is.mother.brood,wing.side
18N0614,423.376,36.26,2.133,,K6,Ikiam,615,female,NA,NA,NA,wild,Heliconius,erato,lativitta,yes,right
18N0651,482.632,38.899,2.108,,A3,San Pedro de Arajuno,405,female,NA,NA,NA,wild,Heliconius,erato,lativitta,yes,right
18N602,466.878,37.885,2.16,,K1,Ikiam,615,female,NA,NA,NA,wild,Heliconius,erato,lativitta,yes,right
19N0004,448.396,38.227,2.219,,P16,Rio Pusuno,375,female,NA,NA,NA,wild,Heliconius,erato,lativitta,yes,right
19N0005,506.002,39.102,2.119,A4.9,A4,San Pedro de Arajuno,405,male,NA,0.50761,17,reared,Heliconius,erato,lativitta,no,right
19N0006,527.906,39.323,2.071,K2.18,K2,Ikiam,615,male,NA,0.57722,20,reared,Heliconius,erato,lativitta,no,right
19N0007,437.712,36.858,2.14,,P15,Rio Pusuno,375,female,NA,NA,NA,wild,Heliconius,erato,lativitta,yes,left
19N0008,437.002,36.627,2.152,A4.66,A4,San Pedro de Arajuno,405,female,NA,0.42005,19,reared,Heliconius,erato,lativitta,no,right
19N0009,507.367,39.998,2.131,V2.3,V2,Venecia,432,female,NA,0.53597,20,reared,Heliconius,erato,lativitta,no,right
19N0010,442.818,36.368,2.05,W7.33,W7,Wildsumaco,1522,female,NA,0.42139,NA,reared,Heliconius,melpomene,malleti,no,right
19N0011,483.176,38.223,2.092,,,Venecia,432.5112,male,NA,NA,NA,wild,Heliconius,erato,lativitta,no,right
19N0012,432.833,36.36,2.1,W1.22,W1,Wildsumaco,1522,female,NA,0.44899,NA,reared,Heliconius,melpomene,malleti,no,left
19N0013,526.781,38.993,2.04,W8.18,W8,Wildsumaco,1522,male,NA,0.52385,21,reared,Heliconius,melpomene,malleti,no,right
19N0014,533.541,39.825,2.075,W1.12,W1,Wildsumaco,1522,female,NA,0.54911,18,reared,Heliconius,melpomene,malleti,no,right
19N0015,397.845,34.085,2.05,W7.21,W7,Wildsumaco,1522,female,NA,0.38494,21,reared,Heliconius,melpomene,malleti,no,left
19N0016,507.938,37.681,1.97,K2.2,K2,Ikiam,615,male,NA,0.49047,17,reared,Heliconius,erato,lativitta,no,left
19N0017,477.78,38.177,2.162,M1.8,M1,La Mina Negra,1326,male,NA,0.45907,20,reared,Heliconius,erato,lativitta,no,right
19N0018,546.309,40.908,2.091,H2.7,H2,Challua Yaku Grande,990,female,NA,0.56381,19,reared,Heliconius,erato,lativitta,no,right
19N0019,485.724,38.082,2.115,A3.6,A3,San Pedro de Arajuno,405,male,NA,0.46532,22,reared,Heliconius,erato,lativitta,no,right
19N0020,457.726,37.84,2.102,K2.49,K2,Ikiam,615,male,NA,0.40162,20,reared,Heliconius,erato,lativitta,no,right
19N0021,405.904,35.321,2.184,P16.5,P16,Rio Pusuno,375,male,NA,0.36845,19,reared,Heliconius,erato,lativitta,no,left
19N0023,517.942,39.687,2.13,P16.26,P16,Rio Pusuno,375,male,NA,0.59207,17,reared,Heliconius,erato,lativitta,no,right
19N0025,555.439,41.156,2.179,A3.11,A3,San Pedro de Arajuno,405,male,NA,0.60014,21,reared,Heliconius,erato,lativitta,no,right
19N0026,547.304,39.989,2.078,W1.57,W1,Wildsumaco,1522,male,NA,0.53398,NA,reared,Heliconius,melpomene,malleti,no,right
19N0027,520.386,39.236,2.022,W7.35,W7,Wildsumaco,1522,male,NA,0.53562,19,reared,Heliconius,melpomene,malleti,no,right
19N0028,404.806,35.417,2.189,K7.51,K7,Ikiam,615,male,NA,0.38461,NA,reared,Heliconius,erato,lativitta,no,right
19N0029,464.678,36.323,1.976,W8.35,W8,Wildsumaco,1522,female,NA,0.44686,NA,reared,Heliconius,melpomene,malleti,no,left
19N0030,477.613,37.885,2.094,A4.70,A4,San Pedro de Arajuno,405,female,NA,0.4189,17,reared,Heliconius,erato,lativitta,no,right
19N0031,478.647,37.47,2.065,W8.19,W8,Wildsumaco,1522,male,NA,0.42814,22,reared,Heliconius,melpomene,malleti,no,right
19N0032,513.866,39.427,2.124,H2.11,H2,Challua Yaku Grande,990,male,NA,0.49913,16,reared,Heliconius,erato,lativitta,no,right
19N0033,513.627,38.571,1.998,U1.29,U1,cr. Pununo,490,female,NA,0.50523,13,reared,Heliconius,melpomene,malleti,no,right
