Mother ID,Mother unit ID,Species,Rearing batch,no offspring phenotyped,Male/female ratio,Locality on Earthcape,Altitude,latitude,longitude
2,CAM041354,H. e. lativitta,18,6,0.5,Reventador road,1312,-0.01876,-77.52574
7,CAM041833,H. e. lativitta,18,73,1.1,Reventador road 2,1348,-0.004433,-77.506167
8,CAM041393,H. e. lativitta,18,12,1.0,Reventador road 2,1348,-0.004433,-77.506167
10,CAM041429,H. e. lativitta,18,3,2.0,Reventador road 2,1348,-0.004433,-77.506167
14,CAM041473,H. e. lativitta,18,20,0.7,Limoncocha - El Carmen 1,458,-1.09256,-77.54583
19,CAM041510,H. e. lativitta,18,4,1.0,Ikiam Mariposario,600,-0.948557,-77.86605
20,CAM041848,H. e. lativitta,18,35,0.8,Road to Shalcana Loma,429,-1.057317,-77.7018
21,CAM041568,H. e. lativitta,18,17,1.1,Ikiam Mariposario,600,-0.948557,-77.86605
22,CAM041585,H. e. lativitta,18,4,1.0,"Reserva Narupa, bridge",1120,-0.724668,-77.767994
24,CAM041891,H. e. lativitta,18,49,1.0,Ikiam Mariposario,600,-0.948557,-77.86605
A12,19N1981,H. m. malleti,19-20,15,1.1,San Pedro de Arajuno,405,-1.09759,-77.58389
A14,19N1694,H. e. lativitta,19-20,8,1.0,San Pedro de Arajuno,405,-1.09759,-77.58389
A15,19N2783,H. e. lativitta,19-20,15,2.0,San Pedro de Arajuno,405,-1.09759,-77.58389
A3,18N0651,H. e. lativitta,19-20,3,2.0,San Pedro de Arajuno,405,-1.09759,-77.58389
A4,19N0270,H. e. lativitta,19-20,22,1.2,San Pedro de Arajuno,405,-1.09759,-77.58389
A5,19N1211,H. e. lativitta,19-20,4,3.0,San Pedro de Arajuno,405,-1.09759,-77.58389
E3,19N2117,H. e. lativitta,19-20,14,0.4,Reserva Narupa Bridge,1124,-0.724668,-77.767994
H2,19N0022,H. e. lativitta,19-20,8,1.7,Challua Yaku Grande,990,-0.718583333,-77.69297222
K12,19N0326,H. e. lativitta,19-20,14,0.6,Ikiam,615,-0.948557,-77.86605
K17,19N0695,H. e. lativitta,19-20,17,0.7,Ikiam,615,-0.948557,-77.86605
K2,20N0613,H. e. lativitta,19-20,14,0.8,Ikiam,615,-0.948557,-77.86605
K20,19N0981,H. m. malleti,19-20,3,2.0,Ikiam,615,-0.948557,-77.86605
K23,20N0614,H. e. lativitta,19-20,5,0.3,Ikiam,615,-0.948557,-77.86605
K24,19N2014,H. e. lativitta,19-20,15,0.5,Ikiam,615,-0.948557,-77.86605
K33,19N2460,H. e. lativitta,19-20,29,1.2,Ikiam,615,-0.948557,-77.86605
K34,19N2463,H. e. lativitta,19-20,6,2.0,Ikiam,615,-0.948557,-77.86605
K7,19N0285,H. e. lativitta,19-20,27,0.5,Ikiam,615,-0.948557,-77.86605
L1,19N0847,H. e. lativitta,19-20,12,1.4,El Capricho 5.7km,824,-1.187816667,-77.83105
