cam.id,mother.id,locality,latitude,longitude,transect.position,altitude,sex,species,subspecies,pattern,experiment
CAM016702,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,erato,notabilis,black,haplotagging
CAM016703,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,erato,notabilis,black,haplotagging
CAM016704,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,erato,notabilis,black,haplotagging
CAM016705,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,erato,notabilis,black,haplotagging
CAM016706,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,erato,notabilis,black,haplotagging
CAM016707,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,erato,notabilis,black,haplotagging
CAM016708,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,erato,notabilis,black,haplotagging
CAM016709,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,erato,notabilis,black,haplotagging
CAM016710,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,erato,notabilis,black,haplotagging
CAM016711,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,erato,notabilis,black,haplotagging
CAM016712,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,erato,notabilis,black,haplotagging
CAM016713,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,erato,notabilis,black,haplotagging
CAM016683,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016684,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,melpomene,plesseni,black,haplotagging
CAM016685,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016686,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016687,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016690,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016691,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016692,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016693,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016694,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016695,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016696,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,melpomene,plesseni,black,haplotagging
CAM016697,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016698,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,female,melpomene,plesseni,black,haplotagging
CAM016701,,El Topo  Banos - Puyo road ,-1.398016667,-78.17813333,6.02,1307,male,melpomene,plesseni,black,haplotagging
CAM016045,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016046,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016047,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016048,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016872,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016873,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016875,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016876,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016877,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016879,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016881,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016882,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016883,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016885,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016886,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016898,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,female,erato,notabilis,black,haplotagging
CAM016899,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016900,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016901,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM017320,,Mangayacu,-1.437116667,-78.12288333,8.65,1239,male,erato,notabilis,black,haplotagging
CAM016736,,Pindo-Mirador,-1.459966667,-78.0728,11.82,1227,female,erato,hybrid,hyrbid,haplotagging
CAM017257,,Pindo-Mirador,-1.459966667,-78.0728,11.82,1227,female,melpomene,hybrid,hyrbid,haplotagging
