id,sex.cov,area,aspect.ratio,sex.cov.1,sex,ngs.admix,subsp
CAM016019,male,494.735,2.138,male,0,0.567762952,hybrid
CAM016020,male,353.01,2.103,male,0,0.999999813,hybrid
CAM016021,male,566.055,2.184,male,0,0.50486781,hybrid
CAM016022,male,468.223,2.149,male,0,0.469468263,hybrid
CAM016023,male,520.881,2.17,male,0,0.458567947,hybrid
CAM016024,female,527.267,2.011,female,1,0.999999999,hybrid
CAM016025,male,380.301,2.184,male,0,0.000000001,hybrid
CAM016026,male,438.995,2.197,male,0,0.548629019,hybrid
CAM016027,female,446.028,2.134,female,1,0.556621673,hybrid
CAM016028,male,401.329,2.248,male,0,0.546115379,hybrid
CAM016029,male,475.37,2.266,male,0,0.998875148,hybrid
CAM016030,male,454.922,2.17,male,0,0.525894774,hybrid
CAM016031,male,452.946,2.154,male,0,0.530912767,hybrid
CAM016032,female,500.084,2.217,female,1,0.000000001,hybrid
CAM016033,female,451.184,2.088,female,1,0.485447192,hybrid
CAM016034,female,478.461,2.139,female,1,0.000000001,hybrid
CAM016035,male,464.768,2.287,male,0,0.000000001,hybrid
CAM016039,male,409.992,2.26,male,0,0.999945197,hybrid
CAM016045,female,489.43,2.086,female,1,0.601819446,notabilis
CAM016046,male,448.253,2.167,male,0,0.606920674,notabilis
CAM016047,female,426.054,2.167,female,1,0.999999999,notabilis
CAM016048,male,466.775,2.148,male,0,0.999999999,notabilis
CAM016049,female,470.557,2.164,female,1,0.99999434,hybrid
CAM016051,male,453.768,2.138,male,0,0.490130867,hybrid
CAM016052,male,508.143,2.131,male,0,0.532712749,hybrid
CAM016053,male,480.784,2.154,male,0,0.999999621,hybrid
CAM016054,male,489.419,2.263,male,0,0.999999737,hybrid
CAM016079,female,473.811,2.089,female,1,0.999999968,hybrid
CAM016088,female,353.766,2.114,female,1,0.999999055,hybrid
CAM016091,male,509.24,2.203,male,0,0.576494426,hybrid
CAM016094,female,496.565,2.094,female,1,0.558396139,hybrid
CAM016096,male,557.543,2.115,male,0,0.999999416,hybrid
CAM016099,female,469.92,2.19,female,1,0.999999999,hybrid
CAM016102,female,483.705,2.079,female,1,0.999999999,hybrid
CAM016105,female,451.146,2.123,female,1,0.999935028,hybrid
CAM016110,male,466.293,2.11,male,0,0.999999991,hybrid
CAM016112,female,507.587,2.058,female,1,0.553596887,hybrid
CAM016114,male,507.073,2.098,male,0,0.999999999,hybrid
CAM016115,female,434.783,2.148,female,1,0.562900233,hybrid
CAM016121,male,493.552,2.176,male,0,0.486819163,hybrid
CAM016124,female,486.401,2.099,female,1,0.999999999,hybrid
CAM016128,male,559.492,2.159,male,0,0.477857804,hybrid
CAM016129,male,550.453,2.128,male,0,0.489923737,hybrid
CAM016138,female,471.895,2.117,female,1,0.999999922,hybrid
CAM016139,male,493.626,2.246,male,0,0.554096889,hybrid
CAM016140,male,493.466,2.158,male,0,0.481846185,hybrid
CAM016145,male,351.749,2.193,male,0,0.427578983,hybrid
CAM016146,male,515.607,2.093,male,0,0.000000001,hybrid
CAM016147,male,482.057,2.094,male,0,0.451771707,hybrid
CAM016148,male,510.606,2.183,male,0,0.457785318,hybrid
