id,sex,area,aspect.ratio,sex.cov,original.vcf.order,ngs.admix1,ngs.admix2,subsp
CAM016012,female,442.81,2.079,1,1,0.243047827,0.011283693,hybrid
CAM016036,male,488.346,2.084,0,2,0.685818067,0.010680784,hybrid
CAM016042,male,495.66,2.024,0,183,0.461738386,0.017399406,hybrid
CAM016043,male,497.092,2.065,0,187,0.408563101,0.030101866,hybrid
CAM016055,male,558.752,2.117,0,3,0.434717926,0.008415015,hybrid
CAM016066,male,482.416,2.093,0,4,0.260483399,0.00000361,hybrid
CAM016073,male,505.826,2.141,0,5,0.140470111,0.041662969,plesseni
CAM016082,male,579.062,2.116,0,6,0.315606631,0.045051372,plesseni
CAM016084,male,553.971,2.094,0,7,0.29954929,0.035056299,hybrid
CAM016087,female,473.532,2.11,1,8,0.347175553,0.020868661,hybrid
CAM016089,male,490.452,2.093,0,9,0.364940145,0.046943602,hybrid
CAM016092,male,481.121,2.17,0,10,0.293552068,0.021705154,hybrid
CAM016097,male,478.633,2.069,0,11,0.435963288,0.001997211,hybrid
CAM016098,male,470.352,2.031,0,12,0.389763808,0.019342709,hybrid
CAM016100,male,416.193,2.111,0,13,0.395265299,0.02123247,hybrid
CAM016111,male,528.179,2.125,0,14,0.333076755,0.011830155,hybrid
CAM016189,male,434.209,2.136,0,15,0.676506786,0.017259202,hybrid
CAM016190,male,526.169,1.998,0,16,0.792696387,0.011360612,malleti
CAM016191,male,529.129,2.034,0,17,0.787054109,0.000000076,hybrid
CAM016195,male,525.822,2.06,0,18,0.760711216,0.003362197,hybrid
CAM016196,female,495.828,2.04,1,19,0.785666598,0.014121048,hybrid
CAM016197,male,576.435,2.056,0,20,0.982096496,0.000074757,malleti
CAM016205,female,550.07,1.993,1,21,0.849053207,0.01469678,malleti
CAM016228,male,531.133,2.038,0,184,0.573288483,0.020558424,hybrid
CAM016266,male,569.662,2.013,0,23,0.878436267,0.000000001,malleti
CAM016267,male,575.96,2.055,0,24,0.846809783,0.007513053,malleti
CAM016268,male,448.827,2.133,0,25,0.937895003,0.01617787,malleti
CAM016270,male,524.933,2.064,0,26,0.869605642,0.001395037,hybrid
CAM016272,male,501.113,2.206,0,27,0.860615018,0.008073709,hybrid
CAM016287,female,448.481,2.039,1,186,0.000000001,0.125064932,plesseni
CAM016306,male,629.421,2.083,0,28,0.539786518,0.008218889,hybrid
CAM016309,male,573.741,2.107,0,29,0.347879332,0.042037125,hybrid
CAM016312,male,583.332,2.01,0,30,0.518223279,0.012446241,hybrid
CAM016313,male,561.512,2.09,0,31,0.554021209,0.001424693,hybrid
CAM016323,male,558.536,2.079,0,32,0.118322934,0.099800076,plesseni
CAM016324,male,581.421,1.994,0,33,0.037648555,0.078051083,plesseni
CAM016338,male,417.798,2.109,0,34,0.120267208,0.048283624,hybrid
CAM016339,male,604.061,2.039,0,35,0.138060942,0.031630775,hybrid
CAM016340,male,552.083,2.065,0,36,0.0018514,0.048087418,hybrid
CAM016341,male,548.868,2.039,0,37,0.000000001,0.041110204,hybrid
CAM016347,female,518.195,2.077,1,38,0.119820728,0.05976801,plesseni
CAM016349,female,513.811,2.069,1,39,0.018209628,0.088242547,plesseni
CAM016350,male,560.323,2.176,0,40,0.268413367,0.059794008,hybrid
CAM016354,male,541.738,2.069,0,41,0.05158573,0.095675823,plesseni
CAM016355,male,563.166,2.06,0,42,0.00233606,0.085982696,plesseni
CAM016378,male,539.927,2.084,0,43,0.052465262,0.08256199,plesseni
CAM016393,male,507.175,2.018,0,44,0.246437906,0.053298117,hybrid
CAM016394,female,495.684,2.068,1,45,0.317547366,0.000000001,hybrid
CAM016404,male,538.944,1.993,0,46,0.000000001,0.000000001,plesseni
CAM016406,male,600.585,2.053,0,47,0.401278123,0.028182793,hybrid
